opportunity_name,opportunity_id,Account_Exe_Id,Account_Executive,premium_amount,revenue_amount,closing_date,stage,branch,specialty,product_group,product_sub_group,risk_details
EL-Group Mediclaim,OPP1900001042,3,Animesh Rawat,8000000.00,400000.00,2019-11-13,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Medical
AL GPA,OPP1900001047,1,Vinay,200000.00,30000.00,2020-03-31,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Personal Accident
BL - Marine STOP,OPP1900001048,1,Vinay,0.00,100000.00,2020-06-30,Qualify Opportunity,Ahmedabad,Marine,Marine,Marine Hull,Charterers' Liability Policy
II-Marine,OPP1900001050,1,Vinay,0.00,100000.00,2020-03-31,Qualify Opportunity,Ahmedabad,Marine,Marine,Marine Hull,Charterers' Liability Policy
PIL-Credit Insurance,OPP1900001051,1,Vinay,1200000.00,100000.00,2020-03-31,Qualify Opportunity,Ahmedabad,Trade Credit &amp; Political Risk,Miscellaneous,Miscellaneous,Trade Credit Insurance
PIL-CGL,OPP1900001052,1,Vinay,0.00,100000.00,2020-05-31,Qualify Opportunity,Ahmedabad,Liability,Liability,Financial Lines,Commercial General Liability
PIL -Marine,OPP1900001053,1,Vinay,0.00,100000.00,2020-05-31,Qualify Opportunity,Ahmedabad,Marine,Marine,Marine Hull,Charterers' Liability Policy
SGL- GMC,OPP1900001054,1,Vinay,0.00,125000.00,2020-06-30,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Medical
Sandesh - Marine,OPP1900001055,1,Vinay,0.00,100000.00,2020-03-31,Qualify Opportunity,Ahmedabad,Marine,Marine,Marine Hull,Charterers' Liability Policy
VS.-Marine,OPP1900001056,12,Shivani Sharma,0.00,200000.00,2020-03-31,Qualify Opportunity,Ahmedabad,Marine,Marine,Marine Hull,Charterers' Liability Policy
II -  GMC,OPP1900001057,12,Shivani Sharma,0.00,75000.00,2020-03-31,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Medical
II - GPA,OPP1900001058,12,Shivani Sharma,0.00,25000.00,2020-03-31,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Personal Accident
G R -GMC,OPP1900001072,12,Shivani Sharma,2000000.00,150000.00,2020-05-31,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Medical
DB- Cyber Liability,OPP1900001138,12,Shivani Sharma,500000.00,75000.00,2020-05-31,Qualify Opportunity,Ahmedabad,Liability,Liability,Financial Lines,Cyber Liability Insurance
KB GMC,OPP1900001222,3,Animesh Rawat,2500000.00,125000.00,2019-12-01,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Medical
EI- GMC,OPP1900001364,10,Mark,1400000.00,100000.00,2019-12-09,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Medical
CVP GMC,OPP1900001365,10,Mark,4500000.00,350000.00,2019-12-11,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Miscellaneous,Miscellaneous,Group Medical
Sin GMC,OPP1900001366,3,Animesh Rawat,9500000.00,200000.00,2019-09-30,Negotiate,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Medical
FM-Group Mediclaim,OPP1900001390,10,Mark,4500000.00,300000.00,2019-10-29,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Medical
Stem GMC,OPP1900001391,3,Animesh Rawat,0.00,100000.00,2019-11-15,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Medical
DS- Employees GMC,OPP1900001392,3,Animesh Rawat,6000000.00,300000.00,2019-12-01,Qualify Opportunity,Ahmedabad,Employee Benefits (EB),Employee Benefits,Mediclaim,Group Medical
