Claim_ID,Date_of_Claim,Claim_Amount,Claim_Status,Reason_for_Claim,Policy_ID
CLM77924411,2024-08-01,54655,Approved,Song member cover lose effect wall walk.,POL56612277
CLM28779034,2024-01-04,94225,Pending,Mean model toward might main maintain.,POL69932027
CLM42025979,2024-03-30,17652,Approved,Day outside produce easy.,POL42688275
CLM69566101,2023-01-04,69929,Approved,Start after receive daughter newspaper change.,POL66279716
CLM58620367,2022-07-22,96366,Approved,Policy yet yes improve draw some.,POL77439955
CLM07454489,2020-07-02,63905,Denied,Success move worker among.,POL64965934
CLM27552701,2022-01-31,61121,Pending,Professor four degree feeling person author cell.,POL73019543
CLM77756278,2022-08-22,12547,Pending,Science own thing from class senior provide.,POL19552952
CLM05146130,2020-11-27,57203,Denied,Together mouth various child cultural.,POL07805552
CLM19272700,2020-09-10,62916,Approved,Both remain note instead first probably.,POL88177917
CLM85060604,2021-04-03,79536,Denied,Company raise drive.,POL71221796
CLM86056395,2023-01-04,21469,Denied,Church option sometimes pick their arm century.,POL61467343
CLM98463712,2022-12-08,65329,Denied,Shake age official become season.,POL62363777
CLM98579912,2024-06-03,80670,Pending,Seek political threat about join determine.,POL50374708
CLM90637957,2021-01-20,45282,Pending,Network bit someone strong mention.,POL88242759
CLM12125464,2024-02-03,50353,Denied,Window above operation perhaps teach east world bit.,POL27437608
CLM45720439,2023-05-03,39427,Denied,Scientist account cover central song.,POL77019254
CLM50141230,2021-12-24,43102,Pending,Always crime indeed idea back.,POL72656147
CLM97150673,2024-08-19,35473,Pending,Center without look hundred difference writer most.,POL19255943
CLM51837945,2022-05-10,13146,Approved,While operation interview determine let movement.,POL85518381
CLM82967170,2022-03-17,2324,Pending,Option mean marriage news wait major.,POL32845970
CLM62837956,2020-05-08,36126,Denied,Agent several by century quality dream above.,POL95370014
CLM53724406,2020-01-21,80226,Approved,Director benefit movie want increase shake stage.,POL45794212
CLM16412694,2022-12-15,32102,Approved,Nothing body who stand.,POL61653642
CLM51625573,2023-12-16,31862,Pending,Only bill later huge.,POL93167566
CLM51036457,2023-06-12,25719,Denied,Water reduce shoulder technology knowledge discussion network then.,POL67872849
CLM04762722,2020-08-17,3571,Approved,Accept billion sure peace hold meeting.,POL61884063
CLM43338826,2024-05-28,80190,Denied,Myself none late.,POL89077589
CLM66194342,2023-01-09,56151,Denied,Bill few morning executive old.,POL23806593
CLM27235742,2020-12-26,83640,Denied,Act new real know live.,POL29474046
CLM02888122,2020-07-16,9836,Pending,Rule special Democrat million.,POL96504333
CLM23673303,2020-01-09,22275,Pending,Send ok soldier end.,POL81591533
CLM98491523,2024-01-10,77913,Approved,Month station thing police level.,POL01681251
CLM20286630,2021-03-14,39165,Denied,According plan week peace officer particularly.,POL13181377
CLM66676001,2021-11-30,90112,Approved,Anyone national speak protect professor process station.,POL43969785
CLM16206090,2020-08-02,18632,Denied,Indeed particular keep feeling allow individual.,POL34180846
CLM93705007,2023-07-25,35200,Approved,Again evidence yourself somebody light already.,POL21441518
CLM86984670,2021-11-14,31749,Denied,Eat among change goal.,POL64544270
CLM90814794,2024-03-08,7435,Denied,Great near boy success.,POL54561530
CLM55030421,2023-11-27,76501,Pending,Education themselves see letter remember unit director.,POL95768809
CLM38868037,2020-09-05,90208,Pending,American material style through evidence southern deep.,POL96685286
CLM09669839,2021-01-14,84492,Denied,Sign human long air already federal peace art.,POL82401042
CLM18327776,2020-01-04,51746,Approved,Find where back sea program fear.,POL03461173
CLM60097748,2021-11-05,21838,Pending,Deal service agent already improve style.,POL59179996
CLM57112717,2021-11-02,28629,Approved,Two second say if tough voice.,POL23145476
CLM65938667,2023-08-02,80531,Denied,Movie so writer price rise tell old.,POL82016751
CLM14071810,2022-09-18,73972,Pending,Head mission number natural model.,POL09137788
CLM56509285,2022-11-13,53398,Pending,Crime speak fill step.,POL70419372
CLM11001484,2021-03-29,62327,Denied,Group top woman everyone quickly question majority.,POL90801398
CLM65918046,2020-09-27,30879,Pending,Doctor especially today value become term identify.,POL82791377
CLM81536271,2022-09-07,18231,Pending,Year else front than choice.,POL15877374
CLM14776484,2023-06-03,33327,Approved,Why alone its open upon.,POL59779212
CLM33580673,2023-04-30,89459,Denied,Both series shoulder specific offer language traditional.,POL07342539
CLM37236202,2024-08-15,10248,Denied,Staff next movie page drop.,POL41037493
CLM51134239,2023-04-10,86284,Pending,Fast team dark century strategy hit.,POL82137065
CLM36331542,2024-12-01,47685,Pending,Seek send believe western chair usually.,POL90934498
CLM68935390,2021-07-07,4745,Approved,Gas black evidence.,POL83133699
CLM05192558,2023-02-13,64302,Approved,Own would fire.,POL01761052
CLM34252551,2020-10-18,48742,Approved,Give computer keep form research despite.,POL08643765
CLM82206005,2021-08-08,48335,Pending,Adult conference safe poor its industry coach.,POL25617891
CLM25855066,2021-09-04,78981,Pending,Economy whose same miss national.,POL08689656
CLM66661573,2022-11-27,85396,Denied,Simply charge partner poor with.,POL64120254
CLM79682557,2022-06-27,91925,Denied,Often bring five.,POL45114954
CLM70589989,2022-03-20,38297,Approved,Wonder piece wait look true no remember if.,POL63517748
CLM31815501,2022-04-17,66148,Pending,Several produce class customer alone.,POL91259489
CLM63185712,2021-12-03,12659,Approved,Former table finish boy single practice.,POL39463277
CLM23146150,2023-12-23,65025,Pending,Education shoulder hand father production order choice.,POL75706298
CLM01553708,2024-06-27,66661,Approved,Sound be certainly fly picture space.,POL33049382
CLM66074257,2024-12-10,7273,Denied,Sound that operation avoid morning their.,POL63440106
CLM50724959,2024-08-11,4529,Denied,Simple other role not.,POL59354713
CLM33888157,2020-12-09,54069,Pending,Response it six realize doctor.,POL77625425
CLM51474654,2023-04-19,10870,Pending,Staff carry address.,POL18831547
CLM93171228,2024-10-27,67443,Approved,Theory window see soon.,POL24534591
CLM43392789,2020-02-11,4636,Denied,Natural tell whole scientist why weight receive.,POL54483538
CLM88894585,2020-10-23,11566,Approved,One foreign space whether mother.,POL55300155
CLM07858710,2024-03-11,23913,Denied,Kitchen talk throw.,POL82812319
CLM97170433,2021-07-31,23354,Approved,Prevent we project hit oil church.,POL33244868
CLM31270051,2022-05-23,94795,Approved,Name any option into western final.,POL74496346
CLM82267397,2021-03-14,11923,Pending,Push finally hair.,POL18917162
CLM25622565,2024-01-24,20013,Denied,Would level despite imagine.,POL98789630
CLM64484686,2023-05-22,6157,Approved,Our full outside policy.,POL47427298
CLM38705286,2021-02-05,63821,Denied,Camera start really benefit risk security article.,POL76589663
CLM23146923,2023-07-20,19885,Approved,Top center exist action.,POL12935594
CLM24301039,2020-11-04,47975,Denied,While character eat expect.,POL55835566
CLM15657898,2022-04-25,98275,Denied,Act others many weight.,POL91241306
CLM64734849,2022-12-27,7732,Approved,South detail energy somebody coach.,POL10073827
CLM93105620,2021-01-03,25294,Denied,Event fund less country special.,POL43123760
CLM64154491,2020-04-29,4473,Pending,These series movement international toward change movie yard.,POL45095642
CLM33798304,2023-09-17,28593,Denied,Newspaper season me.,POL81122472
CLM14944933,2020-09-14,96104,Pending,Instead hit field manager difference face will.,POL95405693
CLM95099823,2020-08-02,65503,Pending,Him book heart still.,POL20670070
CLM39666392,2021-10-10,65199,Pending,Ball not yet get apply.,POL84424949
CLM25529207,2021-10-06,80432,Denied,Imagine seat friend office it.,POL56083774
CLM45018730,2021-03-18,92471,Approved,Rule memory around international building national.,POL50239325
CLM16989357,2020-07-03,62441,Pending,Able attention our change section rock usually already.,POL66167857
CLM73336882,2024-07-13,84687,Approved,Possible water guess million.,POL44119689
CLM98110295,2021-01-14,44110,Denied,Community dog join brother.,POL91286503
CLM49151950,2024-01-11,42149,Denied,Measure partner professor real trouble enter western president.,POL83969664
CLM62334592,2022-08-03,8683,Denied,Expert near owner.,POL76937321
CLM80481592,2023-02-24,48644,Approved,Hear rock only lot government.,POL67864663
CLM18445476,2024-11-09,40588,Approved,Discussion up power almost number stock.,POL46902142
CLM97556463,2022-03-06,15742,Denied,Camera son book station.,POL07053909
CLM19729557,2023-07-23,64025,Approved,Now happen head church card knowledge information bill.,POL13345815
CLM84451676,2023-09-23,68238,Pending,Recent lay cover piece.,POL28741464
CLM84128413,2022-03-15,55285,Approved,Mrs wide team successful nor southern point.,POL44119689
CLM06827999,2023-03-06,6445,Denied,Something than financial story hand school sense.,POL26162057
CLM14476789,2024-08-21,23812,Pending,When arrive most number southern blue.,POL82697180
CLM87197887,2021-06-04,40772,Denied,Pretty east way year.,POL83865881
CLM08548633,2023-10-16,4853,Denied,Air action student interest sport purpose nice.,POL47222103
CLM84184946,2021-01-12,16314,Pending,Draw man everything.,POL08713900
CLM14231438,2020-05-24,46423,Approved,Himself whose news above.,POL25794151
CLM99725726,2021-01-16,69020,Approved,Paper only approach interest spring floor.,POL55324239
CLM18817051,2022-11-28,68606,Approved,Newspaper result resource serve contain.,POL83258516
CLM35350732,2020-08-07,3221,Approved,Almost sometimes front charge.,POL47598430
CLM53033405,2021-11-16,1019,Pending,White cup question degree glass.,POL84868487
CLM96823987,2020-08-19,6123,Denied,Wear kid economic attorney fear because.,POL32483993
CLM54164215,2024-10-29,24621,Approved,Blue third head full agency.,POL56971563
CLM00908849,2024-08-07,61276,Denied,Opportunity treatment record trip.,POL35996382
CLM26400767,2022-12-05,34209,Approved,Glass southern number include.,POL15506424
CLM69965519,2023-09-16,37082,Approved,Development get process key ago.,POL00464071
CLM94436319,2024-04-29,12128,Approved,Really for bank large season pull everyone.,POL69091266
CLM01927554,2024-11-09,40649,Denied,Something rule want piece leader try.,POL06557000
CLM77659439,2023-01-19,22381,Approved,Nearly seat social significant cultural president.,POL24718635
CLM04866071,2022-01-06,75236,Approved,Quality management decision focus remain.,POL22280600
CLM66373910,2021-05-30,45616,Pending,Something collection staff.,POL66670427
CLM24028490,2023-09-09,52527,Pending,Food open off leader early.,POL59492840
CLM79556342,2023-06-21,38200,Approved,Defense same little.,POL28972573
CLM03896789,2023-10-24,2650,Approved,Receive week wonder sure remember move personal.,POL52513124
CLM08781892,2022-08-15,28863,Approved,Cause number fill manage nearly bill during.,POL73952203
CLM04467612,2022-07-24,45246,Approved,Half two one with.,POL21535465
CLM36598504,2024-01-23,68313,Denied,Recently nation space participant star religious return baby.,POL66183736
CLM81172238,2020-12-19,92514,Pending,Really modern crime building least.,POL40589612
CLM45229692,2023-06-21,35900,Approved,From dark add near.,POL22240017
CLM72320154,2021-03-22,9367,Denied,Side start look avoid month little.,POL45440962
CLM53559340,2021-03-19,13087,Approved,Page other necessary interview be.,POL12315723
CLM11227242,2023-06-08,77868,Denied,Her late approach never.,POL07501738
CLM92000440,2020-04-12,73993,Pending,Strong including agent especially.,POL56896530
CLM14179031,2023-06-06,24121,Approved,Ready view ever win often exactly.,POL71161359
CLM91626670,2020-01-22,93566,Approved,Once fish adult then call.,POL61367355
CLM03392061,2021-02-23,34191,Pending,Third two single list follow.,POL70933310
CLM48859408,2020-12-28,6786,Approved,Deep tree arrive blue one herself six.,POL32900389
CLM93694398,2020-05-30,57557,Approved,One morning room statement season.,POL91660793
CLM06055217,2024-11-12,21471,Pending,Those want PM heart assume.,POL65862653
CLM82195046,2024-11-09,63934,Pending,Mention hear piece worker deep.,POL67872849
CLM90159349,2022-05-05,56083,Approved,People company thought able rich certainly.,POL27219888
CLM30204139,2023-04-09,19038,Pending,Purpose walk member around child system.,POL43112527
CLM01905743,2023-08-16,11069,Denied,Together dog man general.,POL61326572
CLM37903260,2021-10-12,13072,Denied,Situation according adult owner.,POL86063737
CLM82249469,2021-06-09,79591,Denied,Body attack improve note heart western.,POL37985546
CLM27341335,2021-11-01,30681,Approved,Win sing only media impact car.,POL20995178
CLM09810485,2023-01-16,74332,Approved,Teacher trouble scientist form whole find.,POL07837542
CLM22613908,2021-09-21,17380,Denied,Challenge her live full fly available sit.,POL86285298
CLM68878012,2020-10-09,1393,Approved,Stay painting economic course source.,POL17396373
CLM54306007,2024-11-30,58167,Denied,Establish color agree floor interview from.,POL40611534
CLM81789009,2020-05-21,41683,Approved,Likely television consumer two good step.,POL77104949
CLM08365170,2024-10-15,25683,Denied,Character international data change find.,POL39100560
CLM87225208,2024-11-04,21877,Pending,Really pick forward sit role interest everyone score.,POL29305592
CLM65090828,2023-02-21,91713,Pending,Expert whole try performance.,POL46460942
CLM53962419,2022-02-06,15646,Denied,Best blood gas evening item add alone.,POL67696228
CLM37200890,2021-06-29,93642,Pending,Much black test again travel pass.,POL92010970
CLM82823276,2024-02-14,18723,Approved,Lot audience writer section class trial kitchen.,POL33725370
CLM26013917,2022-12-05,41484,Denied,Popular far car clear front activity.,POL32198260
CLM87454106,2022-10-20,58527,Pending,Against prepare economy focus society.,POL34664875
CLM51534455,2020-01-31,82562,Denied,Issue weight particular.,POL69162371
CLM83955122,2020-09-29,51654,Pending,Too attention energy win.,POL47639612
CLM63313699,2022-05-12,86724,Denied,Boy agree little occur wide mention fish.,POL32483993
CLM97330182,2021-06-20,60800,Denied,Congress left management myself film newspaper.,POL96919228
CLM49632388,2024-10-11,62612,Approved,Of notice huge character general common.,POL84360532
CLM87562341,2020-08-23,86070,Denied,Run church environment huge.,POL66521872
CLM38238490,2023-06-24,74380,Denied,Specific mission cold dinner social.,POL77820339
CLM11276494,2023-02-14,63639,Approved,Suffer realize cost course see foreign parent cell.,POL99222365
CLM81357184,2020-03-03,20267,Denied,Stop seem professional win.,POL42903965
CLM52464418,2022-12-09,19546,Approved,Sing remember far provide best manage PM finally.,POL32514074
CLM04892755,2024-04-23,20628,Denied,His child take.,POL64900151
CLM99238019,2020-08-18,41117,Pending,Chance letter full attention represent.,POL52977927
CLM07715910,2021-12-01,3976,Approved,Mr expect environmental to ahead them respond information.,POL80084188
CLM85063315,2024-12-06,34324,Denied,Information feeling attorney station cause there.,POL95137552
CLM96519689,2024-02-11,81133,Approved,Bar hard color property nation then.,POL23949239
CLM18693567,2023-07-19,80315,Approved,Win call explain hotel mention charge bank.,POL92505335
CLM75763057,2020-03-15,78281,Approved,You field world rich foot.,POL20321964
CLM25476445,2021-11-02,41672,Pending,Similar finish computer conference foot.,POL04896223
CLM77223798,2020-10-27,23195,Approved,Couple carry who interview special would can.,POL19823419
CLM27516961,2021-11-26,33717,Pending,Rock best road relate western together test.,POL11162574
CLM88260426,2020-08-17,68780,Approved,Sea good raise certain design eight.,POL85357404
CLM60683750,2022-03-12,88475,Approved,Give certainly seat out hundred fast nature.,POL33693707
CLM95431426,2021-12-08,10590,Denied,Piece event hope teach skill almost rock.,POL93217359
CLM47775308,2022-03-19,11944,Denied,On yeah movie myself eat yard.,POL62321649
CLM52914732,2024-04-01,68723,Denied,Care national ok store.,POL08758463
CLM18271176,2024-05-16,32899,Approved,Brother any off reflect thing decision.,POL45200895
CLM32363978,2021-05-06,60480,Approved,Later culture open task side who Congress election.,POL96658719
CLM49109163,2022-04-13,91023,Denied,Theory drug according else.,POL51395072
CLM22616425,2021-08-09,25909,Denied,Even collection whose rise.,POL81196491
CLM53182116,2021-06-21,33629,Denied,Produce often talk administration responsibility.,POL80647168
CLM66315774,2021-09-02,88917,Approved,Minute trial cause Mrs.,POL34332950
CLM40098278,2024-11-07,16910,Approved,Southern language hold middle take individual that.,POL19560921
CLM31162049,2024-02-19,36365,Approved,Beyond professor through continue.,POL16711858
CLM27880592,2021-05-01,87704,Denied,Alone trade toward.,POL41128359
CLM08739002,2023-05-05,49785,Denied,Thousand couple edge.,POL22496499
CLM10028336,2022-10-04,43865,Denied,Civil she over while dream law.,POL40501212
CLM98825360,2021-09-07,47014,Denied,Figure source not piece alone wish low.,POL19547339
CLM92537697,2023-03-22,15537,Approved,Reflect prevent soon should base professional continue dog.,POL67932010
CLM74056631,2022-04-17,30133,Pending,Magazine near piece lose experience.,POL38710685
CLM10892672,2020-06-15,63875,Pending,Since through write set enter left address low.,POL73709176
CLM30440408,2023-03-21,93289,Approved,Positive rather population fish.,POL65310322
CLM26605878,2024-04-14,96777,Pending,Chair matter unit own grow against.,POL66542527
CLM10407501,2024-10-17,46217,Approved,Skin draw herself evidence dog table politics.,POL18799743
CLM50567782,2023-02-25,15664,Pending,Challenge real future establish suggest same tell.,POL60803243
CLM29948493,2021-01-21,46019,Denied,Customer else foreign hour single.,POL35831200
CLM12178841,2023-08-19,35188,Approved,Last wonder marriage follow over.,POL74568057
CLM57253789,2023-09-18,68880,Pending,Establish experience successful there.,POL29859333
CLM99079161,2024-12-10,52934,Denied,Arrive speak garden manage.,POL20890423
CLM35443710,2020-10-05,72636,Pending,Wonder similar window continue.,POL02394133
CLM81665774,2020-09-27,34231,Denied,Large fish age second any buy.,POL28148630
CLM67694111,2023-08-18,77919,Approved,Threat others water process go.,POL62087073
CLM26301752,2021-08-27,65356,Approved,Lead place study agency arm.,POL75285626
CLM88625196,2020-05-12,93870,Denied,Performance particularly difficult happy base social.,POL77789737
CLM29129239,2022-09-21,33979,Approved,Create society several family.,POL49795535
CLM77926992,2022-11-13,12823,Approved,Painting future argue deep around truth moment much.,POL79914241
CLM00786936,2023-07-22,10696,Denied,Everybody career remember capital.,POL26187162
CLM04147631,2023-11-16,49543,Denied,Already never item.,POL04817251
CLM14137297,2022-02-20,34163,Pending,Too expect piece but life system.,POL07640768
CLM31057531,2020-02-12,59375,Pending,Mrs heart great season car receive.,POL82098917
CLM23809539,2020-07-17,65685,Denied,Nice visit glass try.,POL75780288
CLM30576253,2020-04-18,35055,Pending,Trouble under until democratic film.,POL63437599
CLM94642888,2020-08-30,6682,Pending,Health share Mr full party.,POL06037561
CLM19945282,2020-03-28,79452,Pending,Box assume law concern.,POL09568484
CLM29182583,2021-08-16,80038,Denied,Either house such PM card.,POL68324145
CLM05879384,2021-07-29,55422,Pending,Level how agree get tree sing trade others.,POL81359394
CLM75943169,2020-01-29,13818,Pending,Prevent camera wear of drug recognize.,POL49882725
CLM92940878,2020-10-12,5232,Denied,Probably available scene wife.,POL96802208
CLM58626233,2020-07-30,62539,Pending,Prepare bank north red care different.,POL88923538
CLM35401488,2023-08-13,11068,Pending,Trial result today science.,POL51999477
CLM96278610,2021-03-22,45450,Pending,Everything everybody particularly political executive case hit.,POL41162519
CLM43888646,2022-05-30,93294,Approved,Help and and show.,POL51366884
CLM74338504,2024-03-18,29204,Pending,Spend serve key artist southern above maybe.,POL27425814
CLM84341760,2023-01-05,84688,Denied,Course only central truth.,POL10824295
CLM98482647,2020-01-01,47856,Approved,Clearly method hit most before blue toward.,POL73247469
CLM88916505,2020-07-04,96521,Denied,Hotel into read star.,POL45656881
CLM16622723,2020-07-12,38446,Pending,Alone maintain exist power agent enjoy activity thousand.,POL72122375
CLM74810040,2021-08-20,32073,Denied,Realize later concern crime tell green able.,POL34336501
CLM38365707,2023-06-23,84891,Approved,Young rise leave foreign special.,POL48239604
CLM71003253,2024-01-12,50926,Pending,Central argue rule response hospital likely gun.,POL94726413
CLM91929596,2020-06-25,61415,Pending,Situation option bar sing drive meeting likely.,POL47066048
CLM49735464,2024-11-01,26888,Approved,Check notice address us language stay.,POL15165645
CLM20208977,2023-12-04,48857,Pending,Budget write could value have store every western.,POL51933372
CLM14772569,2022-10-06,74769,Denied,Science customer raise hospital size help.,POL81927332
CLM37055079,2020-09-01,96964,Pending,Water she big mother dream far how ten.,POL11303623
CLM63421031,2022-12-31,83729,Approved,Find evidence more smile its how.,POL38988950
CLM43054541,2021-12-29,87110,Denied,Page marriage authority huge various walk say surface.,POL87949298
CLM49922187,2022-06-24,98603,Pending,Effect half talk piece support never.,POL86285298
CLM94212055,2021-07-31,73315,Approved,Only again music during.,POL64169471
CLM15108906,2021-01-28,86317,Denied,Growth your value house main.,POL41761083
CLM09677738,2022-04-01,79775,Approved,Too message minute network.,POL47605263
CLM36270209,2023-08-12,74640,Denied,Including organization up carry.,POL19547339
CLM63183378,2021-02-01,98250,Pending,Career imagine apply we family.,POL50049784
CLM18654250,2021-11-01,54140,Pending,Whole media since agency officer large position.,POL91241306
CLM48566397,2024-02-26,83951,Denied,Foreign color away state serious.,POL38045222
